passage,criticalsign
7.445,obelos
7.446,obelos
7.447,diple
7.447,obelos
7.448,obelos
7.449,obelos
7.450,obelos
7.451,obelos
7.452,obelos
7.453,obelos
7.453,diple
7.454,obelos
7.455,obelos
7.456,obelos
7.457,obelos
7.458,obelos
7.459,obelos
7.460,obelos
7.461,obelos
7.462,obelos
7.463,obelos
7.464,obelos
7.465,diple
7.473,diple
7.474,diple
7.475,obelos
8.1,dotteddiple
8.3,diple
8.16,diple
8.19,diple
8.22,diple
8.25,dotteddiple
8.26,dotteddiple
8.28,asteriskos
8.28,obelos
8.29,asteriskos
8.29,obelos
8.30,asteriskos
8.30,obelos
8.31,asteriskos
8.31,obelos
8.32,asteriskos
8.32,obelos
8.33,asteriskos
8.33,obelos
8.34,asteriskos
8.34,obelos
8.35,obelos
8.36,obelos
8.37,obelos
8.38,obelos
8.39,asteriskos
8.39,obelos
8.40,asteriskos
8.40,obelos
8.43,diple
8.46,diple
8.47,diple
8.53,dotteddiple
8.56,diple
8.58,diple
8.60,diple
8.62,diple
8.65,diple
8.66,diple
8.68,diple
8.70,diple
8.73,obelos
8.74,obelos
8.89,diple
8.93,obelos
8.97,diple
8.99,diple
8.106,diple
8.107,diple
8.108,obelos
8.109,diple
8.114,diple
8.124,diple
8.125,diple
8.128,dotteddiple
8.130,diple
8.131,diple
8.139,dotteddiple
8.149,diple
8.150,diple
8.163,diple
8.164,obelos
8.165,obelos
8.166,obelos
8.168,diple
8.185,obelos
8.186,diple
8.189,obelos
8.193,diple
8.199,diple
8.206,diple
8.207,dotteddiple
8.209,diple
8.221,diple
8.230,diple
8.231,obelos
8.233,diple
8.235,obelos
8.239,diple
8.250,diple
8.257,diple
8.266,diple
8.270,diple
8.276,diple
8.284,obelos
8.290,diple
8.293,diple
8.299,diple
8.301,diple
8.303,diple
8.306,diple
8.307,diple
8.308,diple
8.312,dotteddiple
8.313,diple
8.316,diple
8.317,diple
8.321,diple
8.322,diple
8.325,diple
8.328,diple
8.331,diple
8.340,diple
8.349,diple
8.361,diple
8.368,diple
8.371,obelos
8.372,obelos
8.373,diple
8.377,dotteddiple
8.378,dotteddiple
8.385,obelos
8.386,obelos
8.387,obelos
8.390,obelos
8.391,obelos
8.393,diple
8.399,diple
8.406,asteriskos
8.407,asteriskos
8.408,asteriskos
8.411,diple
8.420,obelos
8.421,obelos
8.422,obelos
8.423,obelos
8.424,obelos
8.428,diple
8.435,diple
8.439,diple
8.441,diple
8.443,diple
8.444,diple
8.448,dotteddiple
8.455,diple
8.459,diple
8.463,asteriskos
8.464,asteriskos
8.465,asteriskos
8.475,obelos
8.476,obelos
8.485,diple
8.488,diple
8.491,diple
8.493,dotteddiple
8.494,dotteddiple
8.495,dotteddiple
8.499,diple
8.501,dotteddiple
8.503,dotteddiple
8.505,diple
8.512,diple
8.513,diple
8.517,diple
8.519,diple
8.521,diple
8.524,obelos
8.525,obelos
8.526,dotteddiple
8.528,obelos
8.532,diple
8.535,antisigma
8.536,antisigma
8.537,antisigma
8.555,diple
8.557,asteriskos
8.557,obelos
8.558,asteriskos
8.558,obelos
8.560,dotteddiple
8.562,dotteddiple
9.2,diple
9.3,diple
9.9,diple
9.12,diple
9.14,dotteddiple
9.16,diple
9.17,diple
9.18,diple
9.19,diple
9.23,asteriskos
9.23,obelos
9.24,asteriskos
9.24,obelos
9.25,asteriskos
9.25,obelos
9.29,dotteddiple
9.30,dotteddiple
9.31,dotteddiple
9.34,diple
9.43,diple
9.44,obelos
9.47,diple
9.53,diple
9.56,diple
9.57,diple
9.67,diple
9.71,diple
9.77,diple
9.99,diple
9.116,diple
9.119,diple
9.128,diple
9.131,dotteddiple
9.133,diple
9.137,diple
9.140,diple
9.141,diple
9.145,diple
9.146,diple
9.147,diple
9.148,diple
9.153,diple
9.156,diple
9.160,diple
9.165,diple
9.168,diple
9.169,diple
9.170,diple
9.171,diple
9.180,diple
9.182,diple
9.188,diple
9.190,diple
9.192,diple
9.197,diple
9.206,diple
9.209,diple
9.212,diple
9.219,diple
9.222,diple
9.224,diple
9.225,diple
