urn	text	signs
urn:cts:greekLit:tlg5026.msA.hmt:1.556	1.189	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.556	1.189	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.557	1.189	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.557	1.189	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.558	1.190-1.192	
urn:cts:greekLit:tlg5026.msA.hmt:1.558	1.190-1.192	
urn:cts:greekLit:tlg5026.msA.hmt:1.559	1.193-1.194	
urn:cts:greekLit:tlg5026.msA.hmt:1.559	1.193-1.194	
urn:cts:greekLit:tlg5026.msA.hmt:1.560	1.194-1.195	
urn:cts:greekLit:tlg5026.msA.hmt:1.560	1.194-1.195	
urn:cts:greekLit:tlg5026.msA.hmt:1.561	1.197	
urn:cts:greekLit:tlg5026.msA.hmt:1.561	1.197	
urn:cts:greekLit:tlg5026.msA.hmt:1.562	1.200	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.562	1.200	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.563	1.200	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.563	1.200	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.594	1.202	
urn:cts:greekLit:tlg5026.msA.hmt:1.594	1.202	
urn:cts:greekLit:tlg5026.msA.hmt:1.595	1.204	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.595	1.204	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.596	1.204	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.596	1.204	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.597	1.207-1.209	
urn:cts:greekLit:tlg5026.msA.hmt:1.597	1.207-1.209	
urn:cts:greekLit:tlg5026.msA.hmt:1.598	1.211-1.212	
urn:cts:greekLit:tlg5026.msA.hmt:1.598	1.211-1.212	
urn:cts:greekLit:tlg5026.msA.hmt:1.599	1.212	
urn:cts:greekLit:tlg5026.msA.hmt:1.599	1.212	
urn:cts:greekLit:tlg5026.msA.hmt:1.600	1.216	
urn:cts:greekLit:tlg5026.msA.hmt:1.600	1.216	
urn:cts:greekLit:tlg5026.msA.hmt:1.601	1.217-1.218	
urn:cts:greekLit:tlg5026.msA.hmt:1.602	1.216	
urn:cts:greekLit:tlg5026.msA.hmt:1.602	1.216	
urn:cts:greekLit:tlg5026.msA.hmt:1.603	1.217	
urn:cts:greekLit:tlg5026.msA.hmt:1.603	1.217	
urn:cts:greekLit:tlg5026.msA.hmt:1.604	1.219-1.220	
urn:cts:greekLit:tlg5026.msA.hmt:1.604	1.219-1.220	
urn:cts:greekLit:tlg5026.msA.hmt:1.605	1.219	
urn:cts:greekLit:tlg5026.msA.hmt:1.605	1.219	
urn:cts:greekLit:tlg5026.msA.hmt:1.606	1.220	
urn:cts:greekLit:tlg5026.msA.hmt:1.606	1.220	
urn:cts:greekLit:tlg5026.msA.hmt:1.607	1.220	
urn:cts:greekLit:tlg5026.msA.hmt:1.608	1.219	
urn:cts:greekLit:tlg5026.msA.hmt:1.608	1.219	
urn:cts:greekLit:tlg5026.msA.hmt:1.609	1.222	
urn:cts:greekLit:tlg5026.msA.hmt:1.609	1.222	
urn:cts:greekLit:tlg5026.msA.hmt:1.610	1.222	
urn:cts:greekLit:tlg5026.msA.hmt:1.610	1.222	
urn:cts:greekLit:tlg5026.msA.hmt:1.611	1.225-1.233	
urn:cts:greekLit:tlg5026.msA.hmt:1.611	1.225-1.233	
urn:cts:greekLit:tlg5026.msA.hmt:1.652	1.226	
urn:cts:greekLit:tlg5026.msA.hmt:1.652	1.226	
urn:cts:greekLit:tlg5026.msA.hmt:1.653	1.227	
urn:cts:greekLit:tlg5026.msA.hmt:1.653	1.227	
urn:cts:greekLit:tlg5026.msA.hmt:1.654	1.228	
urn:cts:greekLit:tlg5026.msA.hmt:1.654	1.228	
urn:cts:greekLit:tlg5026.msA.hmt:1.655	1.229	
urn:cts:greekLit:tlg5026.msA.hmt:1.655	1.229	
urn:cts:greekLit:tlg5026.msA.hmt:1.656	1.231	
urn:cts:greekLit:tlg5026.msA.hmt:1.656	1.231	
urn:cts:greekLit:tlg5026.msA.hmt:1.657	1.232	
urn:cts:greekLit:tlg5026.msA.hmt:1.657	1.232	
urn:cts:greekLit:tlg5026.msA.hmt:1.658	1.233	
urn:cts:greekLit:tlg5026.msA.hmt:1.658	1.233	
